inputs,outputs
42.31825134458296,51.69672853530444
42.3157500546862,51.68213239523185
42.31791132537695,51.67743592027839
42.3221485646399,51.679606809299564
42.32650160864859,51.68381497092872
42.330026555653085,51.68716676066599
42.33266008122728,51.68983892538599
42.33473569160305,51.693237900743426
42.33659721347339,51.697880127950675
42.33850913993614,51.70325053552944
42.340661696494806,51.708532283526615
42.34175909892569,51.699926186620665
42.333943384585055,51.60212062302582
42.30130745708163,51.26061023569975
42.23451621675611,50.57873144876891
42.14672653378509,49.67659770876196
42.06500030502599,48.81797153829889
42.012610855007985,48.23948840924515
42.0056246255228,48.11159888406542
42.05063432807355,48.513114936972755
42.1363889131435,49.34503693547177
42.23591990330827,50.343861292908066
42.32151732407318,51.226453124671515
42.3775320421868,51.8224367010544
42.402787851096285,52.1058534484572
42.405238792425486,52.14672491704679
42.39439199071159,52.03721465242758
42.37650419712503,51.84204704672821
42.35453576805045,51.5928596252261
42.331427676489106,51.30085597234885
42.314503646638435,50.97691602269562
42.31425731614377,50.665569575085
42.33429861990637,50.44962729574929
42.36562069822823,50.403062849987464
42.394401943246876,50.54278437042261
42.412249948939284,50.816048128527214
42.41804970398466,51.1239326832777
42.413691377871324,51.36211825845389
42.39721284023928,51.42341939622027
42.359014250549706,51.17947902900895
42.29275383101748,50.57059672002338
42.211623917269755,49.744714121095306
42.14474439287797,49.014096398154926
42.1174879756835,48.659053070028335
42.13704288529853,48.779693865155956
42.18970750085544,49.26006433899241
42.2508433301902,49.85913754928275
42.302253577991706,50.3853583683248
42.34051582615914,50.79042068279584
42.37060590661341,51.11447942567569
42.39651886179688,51.39393497974605
42.418211299650174,51.62821183831996
42.43368132904079,51.79728268261373
42.44174036345152,51.88782032151355
42.44305619559968,51.90454203119389
42.43945694478223,51.86482891386816
42.432855743760186,51.7884180427317
42.42425478541352,51.68712248627071
42.41025949878132,51.53037231126906
42.38022469038264,51.21483391575207
42.32576496838832,50.65319775458026
42.25554031389088,49.922053484879626
42.19239529246305,49.244644049787205
42.158017531621866,48.84455608248578
42.16451560836357,48.856793249513125
42.21051649715085,49.281745362251584
42.27878896066405,49.95596352397001
42.343531426453694,50.62032906546084
42.38439736252251,51.05079945086159
42.39755188533223,51.14726054061725
42.39767531656156,50.96768555180688
42.404487014193094,50.68912446944613
42.42360835013654,50.488003533266856
42.44447147048316,50.443104143112976
42.454543306278524,50.53137080779914
42.44947753959943,50.672122728986274
42.43229199703679,50.777925255748436
42.41034338047055,50.81095103154926
42.3921184930226,50.796834841519605
42.37932017489464,50.74744712819163
42.36272277055918,50.59640669177161
42.33163634657926,50.265555928934816
42.286921578769615,49.77995693040398
42.24258020256612,49.28663242885725
42.21491063418826,48.956210774480844
